16 edged hard leather whip tipped with highsteel razorblades;30% mithril, 15% highsteel, 55% leather
a cobalt amulet;cobalt
a coiled reed bracelet;vegetation
a cold iron ring;iron
a cold iron ring <Kalevala>;iron
a collar made of black silk;silk
a colourful muscle shirt;hemp
a complex belt with accessories;durandium
a copper amulet;copper
a copper leg protector;copper
a corroded iron halberd;iron
a cracked onyx mask;onyx
a craftsman's vest;cloth
a crescent-shaped glaive of the Tiotar tribe;30% mithril, 70% petrified wood
A crimson coat, made from the finest silk;silk
a crooked wooden staff;wood
a cross-shaped medal, denoting valour;25% cloth, 50% starmetal, 25% alexandrite
a crown of the kings;quicksilver
a crude black spiked shoulder pad;titanium
a crude plague censer flail;74% iron, 25% ebony, 1% starmetal
a crude spiked battle mace;highsteel
a cruel blade made of dark crystal;crystal
a cruel looking two-edged axe;35% bone, 65% steel
a cruel spear, the light's demise;nullium
a crystal orb;crystal
a crystal pendant;crystal
a crystite armour resembling a corset;50% crystal, 50% adamantium
a crystite sphere;50% crystal, 50% adamantium
adamantium large shield of Dragon Rebel;12% highsteel, 5% diamond, 83% adamantium
a damascian highsteel scimitar;4% ivory, 96% highsteel
a damned amethyst sabre;amethyst
a dark armor bearing the crest of house Pendragon;darksteel
A dark black mace;nullium
a dark chained necklace with an angelbone charm;iron
a dark leather bound tome;leather
a dark leather breastplate with falcon emblem;10% gold, 90% leather
a dark metal ring with a skull emblem;darksteel
a dark ring, made of stone (rare);stone
a dark set of chitinous plates;bone
a darksteel battleaxe with an oily double-bladed head;darksteel
a darkwood staff with a shimmering tip;95% ebony, 5% starmetal
a dart of love;iron
a deadly laen stiletto;laen
A deadly silver katana;silver
a dead skin mask;flesh
a death amulet;bone
a deep black ring;onyx
a deep green trident with barbed blades [vile];emerald
a deep red tail guard;iridium
a demonskin belt;flesh
a demon skull necklace;bone
a demon tooth hanging on a chain;75% bone, 25% nickel
a dented rusty helm;copper
a diamond encrusted leather collar;35% diamond, 65% leather
a diamond handcuff;diamond
a diggalite broadsword known as 'Goblin eater';diggalite
a dismal looking brown hat;burlap
a doll that looks like a joker (good);cotton
a doll that looks like a joker (happy);cotton
a doll that looks like a joker (Swedish);cotton
a double-edged longsword 'Blue Flame';25% ivory, 75% starmetal
a Dragon Helm;dragonscale
a dragonscale boot, reinforced with strips of mithril;80% dragonscale, 20% mithril
a dragonscale tail guard;dragonscale
a Dragonskin Breastplate;dragonscale
a dread's black scythe;silver
a druid's crescent made of silver;silver
a dull grey ring of flight;aluminium
a dull ring;10% enchanted air, 20% mithril, 60% dragonscale, 10% diamond
a dull spiked suit of platemail;nullium
a dwarf skull;bone
a dwarven full shield 'Dragomir';20% dukonium, 80% mithril
a faint blue glass orb;glass
a fancy steel monocle;10% steel, 5% leather, 85% glass
a fashionable blue silk belt;silk
A fearsome sword with the symbol of the seven circles;laen
a feather decorated wooden staff;wood
a feather pen knife;3% cesium, 81% feathers, 16% darksteel
a fiery adamantium long sword;adamantium
a fiery red highsteel breastplate;highsteel
a fine dragonscale belt;dragonscale
a fine looking pitch black scimitar;steel
a fine runed o-yoroi;40% bamboo, 60% durandium
a flail spluttering with the power of the maelstrom;75% mithril, 25% rift plasma
a flaming mithril mattock;mithril
a fragile blue belt of unholy resistance;titanium
A fragile ring made out of clay;clay
A fresh Paw from the Maneater of Rudraprayag;bone
a frost covered tome;10% onyx, 80% paper, 10% leather
a frosty birch wand, remnant of the winters past;90% birch, 10% ice
a frozen bastard sword, known as Cuts!;darksteel
a frozen two-handed sword;darksteel
a full bodyplate of goodness;nullium
a full shield clad with golden goatskin;bamboo
a fur turban;fur
a galloping mithril sleeve 'Seekers of Ascension';mithril
a garish seashell bracelet;pearl
a ghostly green steel chain mail;kryptonite
a ghoul skin boot;leather
A giant maul with a skull engraved on top of it;15% bone, 70% osmium, 15% dragonscale
A gigantic maul, flowing with electricity;highsteel
a glaring blue glove;85% silk, 10% gold, 5% pearl
a glass jar with a part of brain in it;20% glass, 20% flesh, 60% water
a gleaming amulet of moonlight;moonstone
a gleaming gisarme;70% mallorn, 5% obsidian, 25% darksteel
a gleaming pendant crafted from fresh mithril;mithril
a glimmering black spiked o-yoroi;40% onyx, 60% glass
a glimmering leather belt with gem decoration;leather
a glove of swordmansship;leather
a glowing gothic axe;highsteel
A glowing green amulet;emerald
A gnarled staff;diamond
a gnarly wood staff;marlor
A golden amulet shimmering with pure energy;gold
a golden belt of self awareness;gold
a golden bracelet with green rim;gold
a Golden Helm;gold
A golden laurel wreath;gold
a golden medallion with five onyxes;85% gold, 15% onyx
a golden mithril plate mail;gold
a golden necklace;gold
a golden necklace studded with huge diamonds;gold
a golden pendant inscribed with a symbol of Aeo;gold
a golden ring with a single small ruby;2% ruby, 98% gold
a golden sceptre with a falcon figure;2% topaz, 98% gold
a golden sceptre with frog motif;gold
a golden tiara;gold
a gold laminated dragonscale bracelet;20% gold, 80% dragonscale
a gold necklace;gold
A gold necklace with a sparkling red ruby;gold
a gold plated falchion 'Trasimene';70% starmetal, 30% gold
a gold spiked black leather collar;40% gold, 60% leather
A good luck charm;moonstone
a gorgeous bronze bracelet;bronze
a grand golden breastplate;5% enchanted air, 25% pearl, 30% ivory, 40% gold
a great axe spluttering with the power of the typhoon;mithril
a great emerald hanging from a dragon skin chain;emerald
A green and brown rubber frogsuit;rubber
a green crystal pendant;80% glass, 20% silver
a green crystal ring;kryptonite
a green glove;cloth
a green glowing slimy pair of socks;50% wool, 50% emulsion
a green headband;jade
A green pair of forest shoes;leather
A green slimy Frogblade;highsteel
a halo of flames;fire
a hammer blessed by the All-father;highsteel
A heart shaped amulet;ruby
a heart-shaped sapphire amulet;80% silver, 20% sapphire
A heavy black metal ring;iron
a heavy purple cloak with silvery insignia;cloth
a heavy scarab in a chain;60% onyx, 40% emerald
a hefty halberd known as 'Deocide';alexandrite
a helmet clad with razorblades (machismo);darksteel
a helmet with red silk strips;2% silk, 98% steel
a highsteel battleaxe;highsteel
a highsteel choker, engulfed in electrcity;highsteel
a hockey mask;rubber
A hovering metal hoop;aluminium
A huge clerical mace;lead
a HUGE spiked club "Demoncrusher";highsteel
a human-skin vest (fragile);leather
a Hunters amulet;wood
A Jet Black Bastard Sword;adamantium
a jet-black leg protector;darksteel
a jeweled skirt;ruby
a kenku necklace;gold
a large black feather;feathers
A large bloody nose-ring;malachite
a large, dreadful maul with a row of sinuous horns;50% birch, 40% bone, 10% leather
a large dwarven hammer;bronze
a large metallic insect eye;74% steel, 26% obsidian 
a large oval shaped shield with a glowing yellow rune;osmium
a large purple hat;paper
a large shield clad with golden dragonskin;titanium
a large signet ring with an onyx;15% onyx, 85% gold
a large yellow gem, emitting a bright yellowish light;laen
a lawman's ring;gold
a leather finger guard, reinforced with iron;10% iron, 90% leather
a leather pumpkin shoulder pad;bone
a legendary longsword of the Kilrathi;adamantium
a leitbur blade;silver
a lieutenant's silver necklace;silver
a light blue lance with white stripes and a dark blue banner;20% ice, 60% birch, 20% palladium
a light grey armour suit;aluminium
a little leather bag;leather
a lizard skin cloak;40% dragonscale, 30% leather, 30% flesh
a loin cloth;leather
a long and intimidating tribal pike;10% steel, 90% petrified wood
a long, battered cloth vest;30% wool, 30% cloth, 40% darksteel
a long black cloak with royal seal;5% pearl, 15% silk, 80% cloth
a long blue bathrobe with crystite elbow patches;90% burlap, 5% crystal, 5% adamantium
a long, caribbean blue cloak;cotton
a long cloak, made of the blackest silk;silk
a long, heavy black cloak with diamond reinforcements;70% hemp, 30% diamond
a long magic wand with a sparkling star;10% starmetal, 90% enchanted air
a long mallorn staff with gem embedding;mallorn
a long metal antenna;90% steel, 10% chromium
A long swirl of etheral substance;40% enchanted air, 20% water, 20% starmetal, 20% fire
A low wide-brimmed hat;leather
A lucky copper penny;copper
a lustrous red ring;ruby
a mace with a fist shaped head;mithril
a magical dog collar;iron
a magical, silk shirt;silk
A magic cloak;fur
a magnetic ring;highsteel
A magnificent looking white breastplate;steel
A magnificent shield of the spirits;laen
a magnificent silk tie (casual);silk
a majestical black crown;gold
A majestical ruby necklace;ruby
a massive durandium maul;durandium
amazon battle blade;mithril
amber necklace;amber
a mistletoe bracelet;oak
a mithril bracelet;mithril
a mithril cuirass decorated with a spider signet;75% mithril, 25% uranium
a mithril necklace;mithril
a mithril ring, called 'eckma';mithril
a mithril ring;mithril
a morningstar with head of icicles;30% ice, 70% wood
a mosquito stinger;bone
a mouth-shaped gold necklace (humming);gold
Amulet of Deep Shadows;enchanted air
Amulet of the Scorpion;ivory
Amulet of the Snow Dog;iron
a multicoloured cloak made of cloth patches;cloth
a myriad bracelet;diamond
A mysterious object;flesh
an adamantium pick;adamantium
an adamantium tail guard lined with deadly blades;25% leather, 65% adamantium, 10% enchanted air
An amulet of POWER;bloodstone
an amulet, resembling a pentagram <vibrating>;mithril
an amulet with a circumscribed pentagram;mithril
an amulet with ancient symbols;15% mithril, 85% cloth
an ancient and ragged leather tome;leather
an ancient battleaxe, seen hundred a battle;steel
an ancient blue crown;vanadium
an ancient blue necklace;vanadium
an ancient breastplate decorated with a skull;adamantium
an ancient Dragon's amulet;moonstone
an ancient green staff;cobalt
an ancient staff of the necromancer;wood
an angelbone maul;bone
an angelic battleaxe, demons bane;laen
an angelic glaive, demons bane;laen
An aquamarine glazed finger guard;aquamarine
an armour enveloped in a shimmering golden glow;25% dragonscale, 25% highsteel, 25% nullium, 25% glass
an arm protector called Damien;leather
A nasty guard's cesium boar spear;cesium
A nasty guard's silver pike;silver
A nasty two edged longsword;5% bone, 10% silver, 85% highsteel
ancient blue leggings;vanadium
Ancient Bracers of Xzui;aquamarine
ancient green gloves;silk
ancient grey bracelets;silk
ancient grey gloves;hemp
ancient grey leggings;silver
ancient red bracelets;fur
ancient red leggings;cobalt
ancient red shoes;fur
ancient red sleeves;hemp
Ancient rod of troglodyte ancestors;diamond
ancient yellow sleeves;fur
an electric sword;adamantium
an electrum rod;electrum
an electrum tentacle protector laced with jewels;20% ruby, 20% sapphire, 40% electrum, 20% diamond
an elegant golden ring decorated with wyrm shaped emerald <cursed>;80% gold, 20% emerald
an elegant ring of the drows;cobalt
An emerald battleaxe ^*Wyrmnjirl*^;emerald
an empty phylactery;20% ruby, 80% gold
an engraved cross amulet;silver
an engraved staff with peculiar handle;5% enchanted air, 10% zircon, 70% birch, 2% hemp, 8% diggalite, 5% lead
an evil dagger named 'Spineseeker';tungsten
An evil looking cleaver called 'Torso-fragmenter';steel
An evil looking great axe called 'Neck-snapper';graphite
An evil looking tomahawk called 'Hip-splinterer';steel
an exposing kilt;wool
an exquisitely crafted short sword;mithril
Angelic blade named Angatyre;zhentorium
an ice ring;ice
an illumium o-yoroi;illumium
an infernal amulet made of devil's blood;flesh
An intricate black amulet;flesh
an intricate gaiter with blue runes;40% silk, 60%cloth
an intricate gaiter with cyan runes;40%silk, 60% cloth
an intricate gaiter with golden runes;40% silk, 60% cloth
an intricate gaiter with green runes;40% silk, 60% cloth
an intricate gaiter with magenta runes;40% silk, 60% cloth
an intricate gaiter with scarlet runes;40% silk, 60% cloth
an intricate gaiter with white runes;60% cloth,40% silk
an intricate gaiter with yellow runes;40% silk, 60% cloth
an iron ring called 'Twister';iron
an iron ring decorated with a howling wolf;iron
an ivory amulet in the shape of small scales;ivory
an obsidian finger guard;obsidian
An odd copper dart;copper
an odd looking futuristic polearm;10% zhentorium, 20% mahogany, 70% steel
An old and dusty heirloom gorget;10% sapphire, 80% silver, 10% gold
an old battered hat of Tom Bombadil;cloth
an old leather sleeve;leather
an old oak staff with several odd knobs;oak
an oozing, still-living green tentacle;flesh
an orange cotton belt;cotton
An orange hat of wizardy;cotton
an orcish battle boot;darksteel
an orcish claymore named 'Orc-tongue';dukonium
an orcish claymore named 'Troll-tongue';dukonium
an organic necklace;hemp
an oriental wrist protector;40% cloth, 60% nickel
an ornamental triangular shield made of iron;iron
Antaria, a holy no-dachi of angels;90% iron, 10% steel
an ugly girdle made of trollskin;leather
an ugly rusty ring;iron
an ugly yellow camping hat;cloth
an ULTIMAX death shield;onyx
an unholy clerical collar;cloth
a pair of ancient leather shoes;5% steel, 20% rubber, 5% cotton, 70% leather
a pair of beautifully crafted white ivory leggings;ivory
A pair of beautiful silk gloves;silk
a pair of black boots;rubber
a pair of black leg protectors;nullium
a pair of black silk gloves;silk
a pair of blacksmith's bracers;diggalite
a pair of blacksmith's gloves;75% durandium, 25% anipium
a pair of blue radium boots;cloth
a pair of bone gauntlets, flickering and pink;bone
a pair of boots, made from bone;bone
A pair of boots made of blue cobalt;cobalt
a pair of boots made of fog;air
a pair of boots made of living vines;20% stone, 10% earth, 70% vegetation
a pair of bracers covered with frost;highsteel
a pair of bronze wings;bronze
a pair of carnelian gauntlets;10% leather, 90% carnelian
a pair of cold black leggings;lead
a pair of dirty leggings;cloth
a pair of dragonscale boots;dragonscale
a pair of druidic leather pants;35% enchanted air, 65% leather
a pair of dull grey lead bracers;5% enchanted air, 90% lead, 5% fire
a pair of dwarven bracelets made of electrum;electrum
a pair of fishbone bracelets;bone
a pair of fluffy orange feather boots;wood
a pair of gauntlets enveloped by fire;dragonscale
a pair of gauntlets of dexterity;mithril
a pair of gloves clad with razorblades (machismo);leather
a pair of green glowing bracelets;kryptonite
A pair of grey leggings;graphite
a pair of hairy boots (smelly);fur
a pair of highsteel bracelets, glowing with electric energy;highsteel
a pair of lambskin leggings;leather
A pair of leather boots;leather
a pair of legendary Maze Master's gloves;highsteel
a pair of leggings, formed out of earth;earth
a pair of leggings, made of human flesh;flesh
a pair of leggings of deities;illumium
a pair of old dark green boots;dragonscale
a pair of old dragonscale boots;dragonscale
a pair of pink sandals;paper
a pair of pure white flowing sleeves;cloth
a pair of red dragon wings;flesh
a pair of red great boots;leather
a pair of red rocket boots (rare);quicksilver
a pair of shoes made of Gorm's dragonskin;dragonscale
a pair of short green boots;dragonscale
a pair of silversilk gloves;60% silk, 40% silver
a pair of silvery dragonscale boots;10% silk, 5% pearl, 5% diamond, 80% dragonscale
a pair of slimy shoes;leather
A pair of smooth gloves with seven embroidered circles;silk
a pair of spiked boots;leather
a pair of spiked leggings (kinky);dragonscale
a pair of splendent rust-brown bracelets;batium
a pair of stylish blue breeches;silk
a pair of supple basilisk sandals;leather
a pair of tarnished gauntlets of dexterity;mithril
a pair of thick-lensed glasses;glass
a pair of white boots;feathers
a pair of white glowing mittens;cloth
a pair of white porcelain bracers;porcelain
a pair of wooden bracers;wood
a pair of wooden leggings;wood
a pair of wyvernscale leggings;75% dragonscale, 5% mithril, 20% leather
a pair of wyvern scale shoes;15% cloth, 60% dragonscale, 25% mithril
a pandemonic kote of the Canine God;60% cobalt, 40% burlap
A pan flute decorated with evergreen moss and flowers;wood
a pearly white gauntlet of liberation;40% silk, 60% pearl
a peculiar headgear with reindeer antlers;90% bone, 10% leather
a petrified band of vines;petrified wood
a pile of white water-lilies on a large leaf;wood
A pitch-dark cloak of constellations;95% silk, 5% pearl
a plague censer flail;70% iron, 25% ebony, 5% starmetal
a plain gold and crystal ring;50% gold, 50% crystal
A plain wooden ringband;wood
a pointed camouflage hat with a wide brim;neo burlap
a pointy blue hat with star and moon symbols;5% pearl, 95% silk
a polished pot helm with brass spike;90% iron, 5% leather, 5% chromium
a porky mithril sleeve 'Seekers of Ascension';mithril
a pretty silver ring;silver
a pulsating, psychic headband;enchanted air
a pure white loincloth;silk
a purple glove;cloth
a purple moccasin;leather
a purple neck dickey;vanadium
a purplish Beholder headwear;cloth
A raccoon tail hat;fur
a rainbow cloak;silk
a rainbow ring;emerald
a rectangular shield of a legionary;iron
a red and white wooden mask;wood
A red belt, inlaid with diamonds;10% diamond, 5% mithril, 85% leather
a red feather push-up brassiere;feathers
a red glowing pair of bracers;uranium
a red sash with inwoven gold threads;7% gold, 93% cloth
a red silk cloak embroidered with flame symbols;90% silk, 10% fire
a red silk cloak;silk
a red summer dress;cloth
A red velvet choker with a silver heart;cloth
a reflector shield;10% silver, 90% adamantium
a reinforced bronze bracelet;80% bronze, 20% platinum
a rhodium bracelet;rhodium
A Righteous Holy Avenger Sword of Disruption;mithril
a ring made from sheer moonlight;moonstone
a ring of flames (rare);opal
a ring of water walking;mithril
armband of peace;pearl
armband of war;carnelian
Armour of Light;steel
armour of red dragon scales;dragonscale
a robust great belt;tadmium
a rose clasp;emerald
a rotten wooden staff;wood
a rough magenta ringband;amethyst
a round-headed amulet;alexandrite
a round pearl ball;pearl
a ruby crown;ruby
a rugged green necklace;40% gold, 60% jade
a rumpled wreath made out of leaves;vegetation
a runed battleaxe made of steel;nullium
a runed black highsteel two-handed sword;highsteel
a runed blue belt of unholy resistance;titanium
a runed bracelet made of nullium;nullium
A runed great axe called Haershin;mithril
a runed, shimmering silver blade;silver
a runed silver amulet;silver
a runed silver bracelet;silver
a runed silver circlet;silver
A runed, silvery sword 'the Darktear';silver
a runed sword of chaos;highsteel
a runed wooden staff;birch
a russian autumn cloak;fur
a rusty iron collar;iron
a rusty steel ring;highsteel
a sand clock;glass
a sapphire ring with inscription 'Magnus Maior Maximus';80% gold, 20% sapphire
a satyr tail bracelet;fur
a scarabeous;gold
a scarab of plight;15% onyx, 10% gold, 5% darksteel, 70% alabaster
A serated bladed short sword;laen
a serrated trident of pain;highsteel
a set of black rags;cloth
a set of decanting tools;glass
a set of vampire teeth;bone
a shady blue chainshirt;50% steel, 40% leather, 10% darksteel
A shappy ebony cross (holy);ebony
A sharp and magnificent broadsword;steel
a sharpened wooden stake;wood
a sharp lizard claw;bone
a sharp lizard tooth;bone
a sharp tip from dragon's tail;25% cobalt, 5% sapphire, 25% tungsten, 45% dragonscale
A shield of planes;adamantium
A Shimmering Adamantium Scale;adamantium
a shimmering blue breastplate made of quartz;glass
A shimmering blue necklace with a silver plaque;20% starmetal, 70%sapphire, 10% silver
a shimmering blue ring;sapphire
a shimmering blue whip with bone handle;60% bone, 40% enchanted air
a shimmering spherical amulet;marble
a shining aquamarine ringband;5% enchanted air, 5% earth, 90% aquamarine
a shining bronze bracelet;10% steel, 90% bronze
a shining copper bracelet;10% steel, 90% copper
A shining diamond crown;diamond
a shining flanged battle mace;10% mithril, 90% highsteel
A shining white ivory full shield, embedded with black pearls (holy);95% ivory, 5% pearl
a shin pad made from crystite plates;50% crystal, 50% adamantium
a shiny diamond diadem;diamond
a shiny golden crown with crystite prongs;60% gold, 20% crystal, 20% adamantium
a shiny opal diadem;opal
a shiny rapier with finger guard and white hilt;8% bone, 90% tadmium, 2% darksteel
a shiny shield sparking wildly;steel
a shiny silver hammer;adamantium
a shiny titanium spear with a hilt;titanium
a shiny white ring with a golden eye inlay;80% rhodium, 20% gold
a shirt with moon symbol on the chest;90% silk, 10% cloth
a short black glass horn;50% glass, 50% obsidian
a short cloak of feathers;10% silk, 40% feathers, 50% bark
a short magic wand with a sparkling star;10% starmetal, 90% enchanted air
A short sword of demons;mithril
a silk belt with glowing buckle;20% illumium, 80% silk
a silver amulet of Laesa;silver
a silver charm;silver
a silver jacket;cloth
A silver necklace;silver
a silver pendant in heavy chain;silver
A silver scarab (death);silver
a silvery amulet with light blue pentacle shaped jewel;85% silver, 15% opal
a silvery bastard sword;silver
a silvery great helm with gold decorations;93% highsteel, 7% gold
a simple bow tie reinforced with granite;20% silk, 60% fire, 20% granite
a simple gold necklace;1% nickel, 99% gold
a simple iron bracelet;iron
a simple leather blindfold;leather
a simple rope belt;hemp
a simple silver signet ring;silver
a simple wooden ring;oak
a sizable enchanted elm branch;80% elm, 20% petrified wood
A Sizzling Katana;diamond
a sizzling staff;electrum
a skintight black leather suit;leather
a skull;bone
a skull mask made of silver (dirty);silver
a skull mask made of silver (unholy);silver
a slave collar;steel
a sleek kenku longsword;darksteel
A sleeveless mail coat with an emblem of black panther;90% adamantium, 10% opal
a slender aquamarine dagger;aquamarine
a slender garotte;leather
a slender runed staff;ebony
a small bloody painting of Fiona the brownie nun;13% cloth, 87% wood
a small brass spade;50% brass, 50% oak
a small crystal rod;crystal
a small dirk shaped like an icicle;60% ice, 10% laen, 10% steuben, 20% tungsten
a small glass globe with miniature forest inside;10% wood, 60% water, 15% glass, 10% starmetal, 5% vegetation
a small glowing ring;iron
a small golden ring;gold
a small gold monocle;diamond
a small ice ring;ice
a small jeweled belt;emerald
a small jeweled ring;gold
a small jug (full);clay
a small, midnight black glass orb;glass
a small monocle with a golden chain;10% gold, 90% glass
a small painting of Fiona the brownie nun (holy);87% wood, 13% cloth
a small radiant pendant;silver
a small red rubber ring;rubber
a small ring of smoke;air
a small silver ring;49% silver, 51% enchanted air
a small sparkling pendant;silver
a small staff (rare);wood
a smooth ball;2% pearl, 98% granite
A smooth pair of gloves;quicksilver
A Smooth Silver Tail Guard;silver
a soft black cloth;cloth
a soft glove;wool
a soft map, crafted from fine silk;silk
A soft white cloak with silk linings;10% silk, 80% cloth, 10% feathers
a sparkling breastplate;laen
a sparkling green ring;emerald
A sparkling hat of wizardy;cotton
a sparkly silver ring with small sunstone gem embedded on it;10% sunstone, 90% silver
a spellhammer grade warhammer;adamantium
a spiked springsteel tailguard;15% dukonium, 85% darksteel
a spring-loaded piston;20% durandium, 20% steel, 60% vanadium
a squirrel skin coat;fur
A staff of jinxing;bamboo
a stained black golden crown;gold
a stained blue dress with star patterns;80% silk, 20% cotton
a stained leather vest;2% brass, 98% leather
a standard-class short wooden staff;wood
a star-shaped sapphire medallion;sapphire
a Star Sword;stone
a steel armoured sleeve;80% steel, 20% cotton
a steel collar of the chevalier;steel
a steel mail shirt with white rose emblem;steel
a steel ring;highsteel
a stinky leather vest;cloth
a strange translucent platemail;crystal
a striking liquid metal shirt (fashion); 40% cesium, 60% dukonium
a strong sapphire plate armor;sapphire
a studded black leather collar;10% steel, 90% leather
a sturdy glove;leather
a sturdy gorget made out of emerald plates 'Bulwark of the Wyrm';50% silk, 50% emerald
a sturdy leather great boots;leather
a sturdy maul created to perfection;mithril
a sturdy steel breastplate;steel
a sturdy tower shield bearing the seal of Seraphim;highsteel
a sturdy walking stick;ebony
a sturdy wooden staff;mahogany
a stylish grey fedora with a leather band;90% cloth, 10% leather
a stylish leather-coated satchel;5% steel, 85% cotton, 10% leather
a sunstone finger guard, superior and grey;sunstone
a swirling ball full of etheral goo;glass
a sword called 'Dragonthorn';12% bone, 70% dragonscale, 18% darksteel
A sword of planes;adamantium
a talisman decorated with symbols of Draen-Dalar;aluminium
a tarnished silver medallion with engraved moon symbols;10% diamond, 90% silver
a tattered apron;leather
a tattered monk's robe;wool
Atelath, the Battleaxe of Forever Twilight;5% highsteel, 90% titanium, 5%mithril
athame of severing;diamond
a thick metal collar;55% steel, 45% highsteel
a thick wool cloak with blue hems;wool
a thin discus;enchanted air
a thin leather collar with silver decorations;leather
a thin metal bracelet with beautiful blue and yellow pearl;5% pearl, 95% steel
a three-pronged crown;lead
A tight blue collar;60% silver, 40% silk
a tight-fitting white muscle shirt;10% cloth, 90% silk
a tinning blade;tin
a tiny burning ring;fire
a tiny maplewood ring;maple
a tome labeled as 'The tome about the secrets of the astronomy, universe and ;99% paper, 1% leather
a torn breastplate;iron
a torn leather muscle shirt;leather
a translucent blue ball;4% brass, 45% glass, 51% sapphire
a translucent crimson ring of the Twilight;chrysoberyl
a translucent shard of crystal on a mithril chain;mithril
a translucent visor, coloured with the shades of dark magenta;20% duraluminium, 5% titanium, 5% obsidian, 5% starmetal, 5% laen, 5% vanadium, 
a triumphant mithril sleeve 'Seekers of Ascension';mithril
a twined amber bracelet (destructive aura);amber
a twined snake bracelet (brutal aura);amber
a unicorn horn;bone
a useless codpiece;5% ruby, 95% leather
a very large needle;silver
a vest of triumvirate;5% gold, 5% opal, 90% cloth
a vial containing the tears of Oxtoth (holy);laen
a vibrant black breastplate;adamantium
a vibrant black cloak;leather
A vibrant black cloak;leather
a vibrant black snake-dirk;adamantium
a Vorpal Blade;platinum
a wand of magic;laen
a warpstone talisman;80% enchanted air, 10% lead, 10% starmetal
a water lily garland;vegetation
a wave-edged Flamberge sword;40% iron, 60% steel
